Rank,Name,Pos,Z Total
408,Dennis Smith Jr.,PG,-5.2455012
409,Alize Johnson,PF,-5.27255472
410,Rodney McGruder,SG,-5.278915225
411,Jerian Grant,SG,-5.283587884
412,Justin Wright-Foreman,PG,-5.389369776
413,Admiral Schofield,PF,-5.488295231
414,Thabo Sefolosha,PF,-5.519080894
415,Jarrell Brantley,PF,-5.533515832
416,Josh Reaves,SF,-5.538169438
417,Robin Lopez,C,-5.550826299
418,Zach Norvell,SG,-5.707300101
419,Jalen Lecque,SG,-5.751900791
420,D.J. Wilson,PF,-5.758051643
421,Troy Daniels,SG,-5.805484586
422,Norvel Pelle,C,-5.875993511
423,Dean Wade,PF,-5.920178835
424,Michael Kidd-Gilchrist,PF,-5.924406109
425,Jordan Bell,C,-5.938302564
426,Oshae Brissett,SF,-5.986572028
427,J.R. Smith,SG,-6.021687229
428,Justin Anderson,SG,-6.022860323
429,Corey Brewer,PF,-6.036135125
430,Adam Mokoka,SF,-6.07583717
431,Thanasis Antetokounmpo,SF,-6.173661065
432,T.J. Leaf,PF,-6.23731347
433,Justin James,SF,-6.314964808
434,Carsen Edwards,SG,-6.344251785
435,Udonis Haslem,C,-6.355744253
436,B.J. Johnson,SF,-6.483936694
437,Amir Coffey,SG,-6.638737294
438,Andre Roberson,SF,-6.653242759
439,Stanley Johnson,PF,-6.748649569
440,Melvin Frazier,SG,-6.785388099
441,Tyrone Wallace,SG,-6.871828841
442,Marial Shayok,SG,-6.880135886
443,Deonte Burton,SF,-6.938282413
444,Luc Mbah a Moute,PF,-7.079811766
445,Yuta Watanabe,SF,-7.092410529
446,Tariq Owens,PF,-7.236338111
447,Malcolm Miller,SF,-7.855099859
448,Ignas Brazdeikis,SF,-7.942084437
449,Dewan Hernandez,C,-8.230439971
450,Antonius Cleveland,SG,-8.332912425
451,Josh Magette,PG,-8.768774961
452,Jonah Bolden,C,-8.8870663
453,Jeremy Pargo,PG,-8.907425875
454,Joe Chealey,PG,-9.144012821
455,Chasson Randle,PG,-9.356234616
456,Vic Law,PF,-9.375526665
457,Quinndary Weatherspoon,SG,-9.399235779
458,Khyri Thomas,SG,-9.508814891
459,Michael Frazier,SG,-9.55929534
460,Zhaire Smith,SF,-9.68319041
461,Devon Hall,PG,-9.852970918
462,Louis King,SF,-10.64929614
463,Malik Newman,SG,-11.96011454
